position,company,salary range,brutto
Buhalterė (-is) – konsultantė (-as),UAB „SOFTERA BALTIC“,Nuo 1200,False
Verslo rizikų analitikas (-ė),„Vičiūnų“ įmonių grupė,Nuo 2200,True
Senior SEO Specialist,Oxylabs,2800-4300,True
Service Delivery Manager,"ALTIC IT, UAB",3500-6000,True
Data Engineer,"ALTIC IT, UAB",3500-6000,True
SSC IT Manager,UAB „ALLIANCE RECRUITMENT“,2480-3300,True
JAVA ENGINEER,UAB „Saulės sprendimai“,4100-7400,True
QA SPECIALIST,UAB „Saulės sprendimai“,Nuo 3300,True
.net DEVELOPER,UAB „Saulės sprendimai“,2500-4700,True
Programuotojas (Frontend),UAB „Saulės sprendimai“,2000-5000,True
Lead/Senior Software Developer,UAB „Systems integration solutions“,Nuo 3500,True
Junior Software Developer,UAB „Systems integration solutions“,Nuo 1100,True
.NET Solution Developer for Credit Risk team at SEB in Vilnius,SEB,2500-3600,True
POWER BI DEVELOPER,UAB „PRO BRO Group“,3300-4200,True
IT TECHNIKAS,VšĮ „Respublikinė Vilniaus universitetinė ligoninė“,1100-1400,True
IT Support Engineer,UAB „Manpower Lit“,1700-2000,True
IT Support Specialist (Danish),UAB „Manpower Lit“,2200-2700,True
IT Operation Support,UAB „Cognizant Technology Solutions Lithuania“,2500-3380,True
PROGRAMUOTOJAS (-A),UAB „MAGNETA LOGISTICS“,1500-3000,False
Software Developer (.NET),UAB „Ltintus“,2800-4000,True
Full-Stack (PHP) Developer,UAB „Ltintus“,2800-4000,True
Lead Software Developer,UAB „Ltintus“,3000-6000,True
iOS/MacOS developer,Surfshark,1980-4960,True
React developer,ATEA grupė,1200-2700,False
React developer,ATEA grupė,1200-2700,False
RPA SPRENDIMŲ VYSTYTOJAS (-A),"Registrų Centras, VĮ",1564-2346,True
IT Support Analyst,Citco Group of Companies,1200-1650,True
MS Dynamics NAV/BC gamybos procesų konsultantas (-ė),UAB „SOFTERA BALTIC“,Nuo 1200,False
Sr. Java Developer,UAB „Indigroup“,5000-6800,True
Sr. PHP Developer,UAB „Indigroup“,4650-5800,True
Entry-level Java Developer,UAB „Nortal“,Nuo 1300,True
System Administrator,Oxylabs,1650-4600,True
Test Automation Specialist in Analytics & Reporting Unit at SEB in Vilnius,SEB,1900-4000,True
PL/SQL Developer in Financial Control & Reporting Tribe,SEB,1900-3600,True
"Java Developer in Customer Lifecycle Managment team, SEB Technology in Vilnius",SEB,2400-4450,True
.NET Full Stack developer in Advisory area,SEB,Nuo 1900,True
Service and Delivery Responsible for Virtual Workplace at SEB in Vilnius,SEB,3000-4450,True
Citrix Engineer in Digital Workplace at SEB in Vilnius,SEB,1900-2800,True
IT SISTEMŲ ADMINISTRATORIUS (-Ė),UAB „Transimeksa“,Nuo 2455,True
Junior IT administrator,AS „Citadele banka“ Lietuvos filialas,1450-1650,True
Business Analyst - Product Owner,"Nascent, LLC",2500,False
External Communication Officer,Surfshark,1200-2000,True
Business Intelligence Analyst/Developer,Modus Group,Nuo 3200,True
SOFTWARE ENGINEERING TEAM LEAD,UAB „Viltechmeda“,Nuo 4000,True
Python Developer,Oxylabs,1650-4450,True
SAP Analyst,UAB „ALLIANCE RECRUITMENT“,2454-3801,True
Operations Specialist,UAB „Simplex Payment Services“,Nuo 1500,True
IT pardavimų vadybininkas (-ė) (cyber security),UAB „People Link“,2100-2900,True
Informacinių sistemų projektų vadovas,UAB „People Link“,2800-3400,True
