position,company,salary range,brutto
Ieškome naujo inžinierių komandos nario!,UAB „UCS BALTIC“,1000-1600,True
JUNIOR/MID .NET PROGRAMUOTOJAS (-A),UAB Emplonet,1500-2500,False
MID PHP developer (Laravel),UAB „MR Digital Group“,Nuo 3500,False
Vyr. IT infrastruktūros administratorius (-ė),UAB „Simplika“,3200-4300,True
Oracle duomenų bazių administratorius,UAB „Novian Technologies“,Nuo 2300,True
Windows sistemų administratorius,UAB „Novian Technologies“,1200-1700,False
PHP (Junior) programuotojas (-a) Klaipėdoje,UAB „Same Group“,600-1100,False
Junior - Mid PHP developer,UAB „WAAVO“,1000-3000,False
Kietas PHP Full-stack developer,UAB „Site.pro“,3000-4000,True
Apps QA Engineer,Surfshark,2100-3000,True
IT TESTUOTOJAS (-A)/QA TESTER,Ignitis grupė,1484-2137,True
SOLUTION ARCHITECT,Ignitis grupė,2500-4319,True
SOLUTION ARCHITECT,Ignitis grupė,2500-4319,True
Programuotojas (-a),UAB „Putokšnis“,Nuo 2000,True
IT sistemų analitikas,AB „Kauno energija“,Nuo 2100,True
DUOMENŲ TINKLŲ (ANGL. NETWORK) ADMINISTRATORIUS (-Ė),Ignitis grupė,1647-2372,True
RPA ANALITIKAS (-Ė),"Registrų Centras, VĮ",1270-1905,True
QA Tester,ATEA grupė,1400-2500,True
QA Tester,ATEA grupė,1400-2500,True
Junior QA Tester,ATEA grupė,1000-1800,True
Junior QA Tester,ATEA grupė,1000-1800,True
QA Test Lead,ATEA grupė,2000-3400,True
QA Test Lead,ATEA grupė,2000-3400,True
Inžinieriaus - inžinieriaus padėjėjo darbas Kaune (apmokome),UAB „IP sistemos“,700-1350,False
ROBOTIZAVIMO SPRENDIMŲ ANALITIKAS (-Ė) (RPA ANALYST),Ignitis grupė,1647-2372,True
MID-SENIOR .NET DEVELOPER,UAB Emplonet,2000-6000,True
Analitikas (-ė),FORBIS,2000-3400,True
IT PASLAUGŲ VALDYMO SKYRIAUS SISTEMŲ ADMINISTRATORIUS (-Ė),"Registrų Centras, VĮ",1195-1793,True
Senior Java Developer,UAB „Indigroup“,4600-6500,True
Duomenų analitikas (-ė),Girteka įmonių grupė,1630-2047,True
Back-end PHP Developer,UAB „HOSTINGER“,2500-5000,True
Java Developer in Delivery Accelerator Tribe at SEB in Vilnius,SEB,2300-4450,True
IT specialistas (-ė),UAB „Matillda“,1400-1800,False
Kompiuterių inžinierius (-ė) Utenoje,BIOVELA GROUP,Nuo 800,False
Serviso inžinierius (-ė) TV technikos grupėje,VšĮ Lietuvos nacionalinis radijas ir televizija,Nuo 1585,True
IS VYSTYMO IR PRIEŽIŪROS VYR. SPECIALISTAS (-Ė),"Registrų Centras, VĮ",1458-2188,True
IT produktų vadybininkas,UAB „Biznio kontaktai“,1400-1700,True
IT Project Consultant (HR Systems),UAB „Indigroup“,2560-2800,True
Mid./ Senior .NET PROGRAMUOTOJAS (-A),UAB „SCM Software“,Iki 3300,False
Mid./ Senior .NET PROGRAMUOTOJAS (-A),UAB „SCM Software“,Iki 3000,False
Transporto valdymo sistemos analitikas (-ė),UAB „SCM Software“,1300-2500,False
JUNIOR/ENTRY LEVEL PHP PROGRAMUOTOJAS (-A),UAB Emplonet,1000-2300,False
Jaunesnysis programuotojas (-a)/ konsultantas (-a)/ priežiūros (support) specialistas (-ė),UAB „AMIDUS“,700-1600,True
.NET developer,UAB „Dhealthiq“,Nuo 2455,True
BACKEND PROGRAMUOTOJAS (-A) MED. SRITIES PROJEKTUI,„TELTONIKA IoT GROUP“,4200-5900,True
EMBEDDED SOFTWARE ENGINEER,UAB „Viltechmeda“,Nuo 3000,True
AUTOMATED SOFTWARE TEST ENGINEER,UAB „Viltechmeda“,Nuo 2500,True
"Debesų kompiuterijos administratorius, -ė",UAB „Duomenų logistikos centras“,1900-2300,True
VYR. IT TESTUOTOJAS (-A)/ SENIOR QA TESTER,Ignitis grupė,2101-3025,True
React Native programuotojas (Junior-Mid),MB „Mobiliųjų aplikacijų sprendimai“,1600-3500,True
UX DESIGNER,UAB „Saulės sprendimai“,Nuo 3500,True
IT System Analyst,Girteka įmonių grupė,2540-3210,True
"Team Lead, Content Analyst team (remote)",UAB „BALTIC VIRTUAL ASSISTANTS“,2250-2450,True
Frontend developer,UAB „Nordcode technology“,1400-2500,False
ENDPOINT ENGINEERING TEAM MANAGER (REMOTE),UAB „Littelfuse LT“,Nuo 4500,True
Computer vision developer (PYTHON) Klaipėda/Kaunas,VMGcorp,Nuo 1300,False
MICROSOFT DYNAMICS BUSINESS CENTRAL ANALITIKAS,UAB „SME Finance“,Nuo 3800,True
JUNIOR IT SUPPORT SPECIALIST,UAB „COWI Lietuva“,1150-1350,True
RPA DEVELOPER,Ignitis grupė,2101-3660,True
IT Sistemų Administratorius - Saugos Inžinierius (-ė),UAB „Indigroup“,2200-2960,True
.Net developer in Financing and Loans area at SEB in Vilnius,SEB,2400-4450,True
MANUAL SOFTWARE TEST ENGINEER,UAB „Viltechmeda“,Nuo 1600,True
Kompiuterinių sistemų analitikas (-ė) (architektas (-ė)),Lietuvos statistikos departamentas,2700-3400,True
Duomenų analitikas (-ė) - programuotojas (-a),Lietuvos statistikos departamentas,2700-3400,True
PHP Programuotojas,MB „Pramanas“,5000-6000,True
IP (intellectual property) Analyst in Life Science,Thermo Fisher Scientific,1500-2300,True
Senior iOS Developer,UAB „Kesko Senukai Digital“,5000-6500,True
Senior Android Developer,UAB „Kesko Senukai Digital“,5000-6500,True
IT specialistas (-ė),UAB „Atticae“,1500-2500,False
Programuotojas (back-end),MB „Du bitai“,1500-3500,True
Data Migration Specialist,Girteka įmonių grupė,2540-3500,True
IT inžinierius (-ė),SBA Grupė,1000,False
Senior Software Developer (OpenEdge/Progress 4GL) in Financing & Loans Tribe,SEB,2400-3600,True
IT Security Analyst,UAB „ALBARS“,1224-3305,True
TECHNICAL SUPPORT ENGINEER,UAB „ELSOFT“,900-1800,True
IT programų priežiūros administratorius (-ė) (Service desk),",,Limedika” įmonių grupė",Nuo 1158,True
DUOMENŲ INŽINIERIUS (-Ė),UAB Emplonet,2235-3554,True
Jaunesnysis ERP verslo procesų analitikas,MB „Umina LT“,900-1500,True
Kritinių IT sistemų grupės vadovas (-ė),VĮ Lietuvos oro uostai,Nuo 2385,True
.NET PROGRAMUOTOJAS,Lietuvos ir Vokietijos UAB „Stevila“,Nuo 2000,False
IT Service Delivery Manager,UAB „ALBARS“,1900-4300,True
IT TINKLO ADMINISTRATORĖ (-IUS) - ADMINISTRATORĖ (-IUS),VĮ Lietuvos oro uostai,3000-3700,True
Technologinių projektų vadovė (-as),VĮ Lietuvos oro uostai,2300-3000,True
IT sistemų administratorius (-ė),UADBB „Aon Baltic“,2500-3000,True
PROGRAMUOTOJAS PROFESIONALAS .NET C#,UAB „Higso bozonas“,2000-3000,False
Transmission Network Engineer,UAB „Indigroup“,2500-3000,True
Senior Java Developer,UAB „Indigroup“,4600-6250,True
IT inžinierius,UAB „Kardiolitos klinikos“,Nuo 1100,False
.NET PROGRAMUOTOJAS (-A),UAB „Viena sąskaita“,2000-3500,True
Senior DevOps Engineer,UAB „DappRadar“,5000-6000,True
IT Project Manager,UAB „IDEAFORMUS“,1500-2500,False
PHP developer,UAB „IDEAFORMUS“,2000-3300,True
Programuotojas (-a),UAB „Čia Market“,2000-3000,True
Business Development Representative (junior),UAB „People Link“,2100-2900,True
".Net C#, JavaScript, Angular Developer in LC&FI CRM LT at SEB in Vilnius",SEB,1900-4450,True
IT SISTEMŲ ADMINISTRATORIUS (-Ė),„Vičiūnų“ įmonių grupė,Nuo 1700,True
JAUNESNYSIS IT PAGALBOS TARNYBOS SPECIALISTAS (-Ė),„Vičiūnų“ įmonių grupė,Nuo 1300,True
PHP programuotojas,UAB „VERSLO ŽINIOS“,2000-3000,True
IT PRIEŽIŪROS SPECIALISTAS (-Ė),UAB „DocLogix“,700-1000,False
Junior Systems Administrator,UAB „Manpower Lit“,1225-2455,True
Front-End Developer,UAB „Aardvark Technologies“,2500-5000,True
Mid/Senior Backend Developer,UAB „Aardvark Technologies“,2200-6000,True
IT specialistas (-ė),UAB „Litvalda“,1322-2480,True
AUTOMATIZAVIMO SPRENDIMŲ PROGRAMUOTOJAS (-A),Ignitis grupė,2101-3660,True
SENIOR PROJECT MANAGER,UAB „DPD Lietuva“,3000-4000,True
DRUPAL/PHP DEVELOPER,Ignitis grupė,1829-3186,True
Mid PHP Laravel developer,MB „Brand Lions”,1200-2800,False
Quality Assurance Specialist,Bankera,1000-8200,True
Quality Assurance Specialist,Bankera,1000-8200,True
Penetration Tester,Bankera,Iki 8200,True
Penetration Tester,Bankera,Iki 8200,True
Java Back-End Developer (Mid/Senior),Bankera,3000-10000,True
Java Back-End Developer (Mid/Senior),Bankera,3000-10000,True
React Front-End Developer (Mid/Senior),Bankera,3000-10000,True
React Front-End Developer (Mid/Senior),Bankera,3000-10000,True
APPLICATION SUPPORT SPECIALIST (.NET),UAB „DocLogix“,1400-2400,True
Programuotojas (-a),Lietuvos centrinė kredito unija,1225-2455,True
Linux SysAdmin (evening/night/weekend shifts),Surfshark,1400-4300,True
Business Analyst (Planning and Analysis central team),Girteka įmonių grupė,2145-3200,True
Product Manager,Oxylabs,2450-4950,True
IT DEBESIJOS ARCHITEKTAS (-Ė) / CLOUD ARCHITECT,"ALTIC IT, UAB",3000-5500,True
IT INŽINIERIUS (-Ė),"ALTIC IT, UAB",1500-2500,True
AX/D365FO konsultantas (-ė),UAB „Columbus Lietuva“,1800-2800,False
IT projektų vadovas (-ė),UAB „TOMEGRIS“,Nuo 1600,True
IT PROJECT MANAGER,Talent Lab,2200-2500,False
Service Delivery Manager,ATEA grupė,3590-4450,True
IT inžinierius,UAB „ASPA“,Nuo 1000,False
GAMYBOS ĮRANGOS IT SPECIALISTAS (-Ė) TECHNIKOS TARNYBOJE,KG Group įmonių grupės Paukštininkystės verslas,800-1200,False
Mid Full Stack Developer,UAB „Ipra LT“,2000-4000,False
SysAdmin – Kubernetes,UAB „Indigroup“,4000-5000,True
EL. PARAŠO VEIKLOS ANALITIKAS (-Ė),"Registrų Centras, VĮ",1798-2698,True
VEIKLOS ANALITIKAS (-Ė),"Registrų Centras, VĮ",1798-2698,True
Product owner,UAB „Ipra LT“,1600-2600,False
Senior Linux Administrator,Paysera,2000-5000,True
Test Automation Engineer in Delivery Accelerator Tribe at SEB in Vilnius,SEB,2300-4700,True
Programuotojas,UAB „Starflix Vilnius“,700-2000,False
Infrastruktur Spezialist mit Deutsch,UAB „Hausengel International“,1300-1500,True
Junior QA Specialist,UAB „Decentralized“,950-1250,False
MS SQL Database Administrator,UAB „ALBARS“,1800-3000,False
IT SYSTEMS ENGINEER,UAB „ALBARS“,1800-4300,True
IT Solution Architect,UAB „Indigroup“,4500-6400,True
Oracle Database Administrator (DBA),UAB „Indigroup“,2800-3200,True
BI analitikas (-ė),UAB „Simplika“,2400-3300,True
Assistant - Consumer Services,UAB „TransUnion Baltics“,1054-1200,True
Senior Front-end Engineer (React),UAB „Kilo grupė“,4000-7500,True
